14144,14475,2095,10053,-9661,14036,-752,551,64
14144,14475,2095,10053,-9661,14036,-752,551,64
12102,12536,1610,8899,-8657,12545,-918,764,137
10324,8649,374,7566,-6610,9762,-639,774,230
10324,8649,374,7566,-6610,9762,-495,653,363
8470,5164,-885,6847,-4338,6258,-495,653,363
6958,2013,-971,6460,-2366,3138,142,153,347
6286,-1210,-1282,6417,272,1035,905,-567,220
6286,-1210,-1282,6417,272,1035,905,-567,220
5745,-5640,-1166,6798,3296,-996,1213,-893,123
6002,-8979,-1703,7050,6691,-1587,1606,-897,76
6002,-8979,-1703,7050,6691,-1587,1384,-756,142
6309,-12493,-1322,8555,9684,-3508,1384,-756,142
7228,-15819,-1694,10085,11648,-4614,877,-685,130
8345,-16003,-1610,11344,11800,-5017,529,-351,53
8345,-16003,-1610,11344,11800,-5017,529,-351,53
9153,-14055,-2155,11967,10322,-4470,251,-100,-4
9385,-10477,-2480,11629,7915,-3580,-63,248,-12
9385,-10477,-2480,11629,7915,-3580,-1,430,-115
9189,-6570,-2560,11043,5382,-2362,-1,430,-115
8305,-3775,-2413,10301,3282,-1180,64,394,-257
7237,-775,-2897,8743,740,-595,-102,631,-238
7237,-775,-2897,8743,740,-595,-102,631,-238
6348,1918,-1762,7334,-1571,1045,-14,748,-196
5770,5411,-1329,5294,-4119,3002,-141,792,-175
5770,5411,-1329,5294,-4119,3002,-141,792,-175
6808,6948,-251,5031,-5636,5955,-148,672,-259
8583,9706,1846,6120,-7584,8326,-265,504,-254
8583,9706,1846,6120,-7584,8326,-105,115,-397
10563,12285,2955,7608,-8124,11913,-105,115,-397
12599,15520,3584,8839,-8231,14437,-171,-25,-449
12507,16066,4229,8410,-8256,15252,-404,125,-363
12507,16066,4229,8410,-8256,15252,-618,109,-327
11022,14472,3865,7085,-7706,13842,-618,109,-327
9164,11461,2852,6259,-6416,11063,-444,-97,-288
7578,7704,945,5504,-4697,7993,-45,-231,-250
7578,7704,945,5504,-4697,7993,-45,-231,-250
6038,3771,-660,5333,-2734,4957,-13,-148,-134
5842,-84,-1508,5425,-814,2299,237,-232,3
5842,-84,-1508,5425,-814,2299,954,-686,-39
6019,-2565,-1578,6212,1547,800,954,-686,-39
6537,-6420,-992,7195,4235,-529,1099,-1099,-84
7798,-12032,-1088,9122,8817,-3399,1098,-1172,-25
