1	1299	901	-1109
2	1825	-414	-1041
3	-2682	1366	247
1	1299	901	-1109
2	1825	-414	-1041
3	-2682	1366	247
1	1496	961	-506
2	1825	-414	-1041
3	-524	406	49
1	1496	961	-506
2	1834	-421	-649
3	-524	406	49
1	1496	961	-506
2	1834	-421	-649
3	-524	406	49
1	1155	504	-917
2	1361	-334	-764
3	1149	-228	61
1	1155	504	-917
2	1361	-334	-764
3	1149	-228	61
1	-755	-249	-499
2	-845	99	-333
3	1930	-359	-146
1	-755	-249	-499
2	-845	99	-333
3	1930	-359	-146
1	-2227	-1000	2137
2	-2521	-453	1919
3	2772	-1614	-468
1	-2227	-1000	2137
2	-2521	-453	1919
3	2772	-1614	-468
1	-2521	-978	2269
2	-2805	818	1812
3	-1695	668	183
1	-2521	-978	2269
2	-2805	818	1812
3	-1695	668	183
1	-2054	-1057	417
2	-2258	782	810
3	260	-28	99
1	-2054	-1057	417
2	-2258	782	810
3	260	-28	99
1	-199	-543	486
2	-185	575	313
3	2054	-1170	-254
1	-199	-543	486
2	-185	575	313
3	2054	-1170	-254
1	1260	97	-1046
2	1299	339	-869
3	-1338	-164	148
1	1260	97	-1046
2	1299	339	-869
3	-1338	-164	148
1	1254	781	-1860
2	1906	-146	-1063
3	-2837	973	197
1	1254	781	-1860
2	1906	-146	-1063
3	-2837	973	197
1	1366	995	-899
2	1843	-238	-848
3	-1594	285	-166
1	1366	995	-899
2	1843	-238	-848
3	-1594	285	-166
1	1366	995	-899
2	1843	-238	-848
3	54	141	-167
1	1435	1170	-654
2	1658	-249	-845
3	54	141	-167
1	1435	1170	-654
2	1658	-249	-845
3	54	141	-167
1	1203	811	-1336
2	1596	-399	-961
3	1092	-536	-47
1	1203	811	-1336
2	1596	-399	-961
3	1092	-536	-47
1	-111	-174	-1025
2	117	107	-489
3	1326	-435	-177
1	-111	-174	-1025
2	117	107	-489
3	1326	-435	-177
1	-1832	-1304	1602
2	-2218	-73	1332
3	2339	-156	-632
1	-1832	-1304	1602
2	-2218	-73	1332
3	2339	-156	-632
1	-2475	-1280	3247
2	-2749	289	2000
3	402	-850	-91
1	-2475	-1280	3247
2	-2749	289	2000
3	402	-850	-91
1	-2287	-672	1546
2	-2428	1175	1218
3	-811	487	184
1	-2287	-672	1546
2	-2428	1175	1218
3	-811	487	184
1	-857	-1101	-483
2	-612	1154	610
3	786	-243	-24
1	-857	-1101	-483
2	-612	1154	610
3	786	-243	-24
1	845	60	-861
2	1291	827	-341
3	-103	-463	10
1	845	60	-861
2	1291	827	-341
3	-103	-463	10
1	845	60	-861
2	1291	827	-341
3	-2379	912	305
1	1168	463	-1937
2	1773	-361	-1279
3	-2379	912	305
1	1168	463	-1937
2	1773	-361	-1279
3	-2067	1294	329
1	1282	863	-1675
2	1716	-617	-1793
3	-2067	1294	329
1	1282	863	-1675
2	1716	-617	-1793
3	-2067	1294	329
1	1399	1274	-670
2	1717	29	-1030
3	-987	181	136
1	1399	1274	-670
2	1717	29	-1030
3	-987	181	136
1	1318	1234	-635
2	1665	-55	-571
3	515	81	83
1	1318	1234	-635
2	1665	-55	-571
3	515	81	83
1	206	189	-426
2	277	-133	-99
3	1264	-237	73
1	206	189	-426
2	277	-133	-99
3	1264	-237	73
1	-1894	-1082	620
2	-2019	-67	1286
3	3105	-184	-472
1	-1894	-1082	620
2	-2019	-67	1286
3	3105	-184	-472
1	-3003	-786	3450
2	-3033	-68	2431
3	306	-496	-26
1	-3003	-786	3450
2	-3033	-68	2431
3	306	-496	-26
1	-2436	-1393	1793
2	-2471	934	1808
3	-933	759	163
1	-2436	-1393	1793
2	-2471	934	1808
3	-933	759	163
1	-2436	-1393	1793
2	-2471	934	1808
3	1714	-937	-191
1	-737	-902	-271
2	-345	775	807
3	1714	-937	-191
1	-737	-902	-271
2	-345	775	807
3	19	-958	14
1	1131	368	-1008
2	1413	298	-597
3	19	-958	14
1	1131	368	-1008
2	1413	298	-597
3	19	-958	14
1	1234	577	-2055
2	1648	-292	-1673
3	-3022	768	424
1	1234	577	-2055
2	1648	-292	-1673
3	-3022	768	424
1	1301	687	-1304
2	1770	-56	-1063
3	-1871	668	142
1	1301	687	-1304
2	1770	-56	-1063
3	-1871	668	142
1	1463	885	-574
2	1848	-82	-706
3	140	228	-90
1	1463	885	-574
2	1848	-82	-706
3	140	228	-90
1	1299	782	-1020
2	1805	-613	-817
3	1205	-221	-4
1	1299	782	-1020
2	1805	-613	-817
3	1205	-221	-4
1	756	232	-1060
2	987	-295	-568
3	1246	-269	25
1	756	232	-1060
2	987	-295	-568
3	1246	-269	25
1	-1553	-367	541
2	-1815	110	849
3	1625	40	-200
1	-1553	-367	541
2	-1815	110	849
3	1625	40	-200
1	-2832	-1093	3114
2	-3160	212	2689
3	1923	-1174	-168
1	-2832	-1093	3114
2	-3160	212	2689
3	1923	-1174	-168
1	-2939	-925	1623
2	-2995	617	1731
3	-1575	611	53
1	-2939	-925	1623
2	-2995	617	1731
3	-1575	611	53
1	-2939	-925	1623
2	-2995	617	1731
3	433	-348	-22
1	-1372	-707	514
2	-1466	1309	308
3	433	-348	-22
1	-1372	-707	514
2	-1466	1309	308
3	1820	-1364	-367
1	850	-647	-488
2	878	707	-274
3	1820	-1364	-367
1	850	-647	-488
2	878	707	-274
3	1820	-1364	-367
1	1338	155	-1423
2	1769	-66	-1179
3	-1793	-42	116
1	1338	155	-1423
2	1769	-66	-1179
3	-1793	-42	116
1	1415	858	-1246
2	1896	-469	-1220
3	-2368	809	228
1	1415	858	-1246
2	1896	-469	-1220
3	-2368	809	228
1	1301	1308	-1051
2	1937	-513	-546
3	-1008	-46	10
1	1301	1308	-1051
2	1937	-513	-546
3	-1008	-46	10
1	1190	1084	-1051
2	1719	-386	-942
3	490	-28	24
1	1190	1084	-1051
2	1719	-386	-942
3	490	-28	24
1	1142	593	-1032
2	1405	-121	-731
3	647	-253	118
1	1142	593	-1032
2	1405	-121	-731
3	647	-253	118
1	-656	-102	-218
2	-715	182	185
3	902	-14	-16
1	-656	-102	-218
2	-715	182	185
3	902	-14	-16
1	-3047	-1044	2267
2	-3148	337	2214
3	2302	-460	-412
1	-3047	-1044	2267
2	-3148	337	2214
3	2302	-460	-412
1	-3047	-1044	2267
2	-3148	337	2214
3	-1104	177	7
1	-2976	-1472	2640
2	-3166	772	2627
3	-1104	177	7
1	-2976	-1472	2640
