43,71,25,-90,181,30,163,-157,-170
13,51,171,-107,184,94,179,-114,-221
13,51,171,-107,184,94,-273,-186,-249
61,34,250,-66,134,142,-273,-186,-249
141,78,221,137,59,139,-402,-326,-257
82,91,166,218,-27,178,-340,-415,-350
82,91,166,218,-27,178,-340,-415,-350
34,109,133,191,-13,236,-340,-571,-410
10,72,90,172,-46,261,230,-833,-435
10,72,90,172,-46,261,656,-976,-402
20,-35,-55,78,-50,346,656,-976,-402
67,-55,-179,127,-24,375,237,-1206,-392
67,-55,-179,127,-24,375,393,-1379,-377
152,-87,-222,134,57,476,393,-1379,-377
142,-22,-236,158,70,438,396,-1237,-364
270,-9,-218,132,73,451,329,-963,-339
270,-9,-218,132,73,451,329,-963,-339
325,-71,-144,73,93,435,256,-424,-330
300,35,-65,193,170,450,-114,-250,-305
300,35,-65,193,170,450,-278,-117,-308
229,208,0,209,209,419,-278,-117,-308
180,312,64,164,293,454,-320,66,-297
245,324,112,210,227,460,-725,111,-282
245,324,112,210,227,460,-725,111,-282
258,370,122,271,172,515,-915,142,-317
267,394,125,330,189,536,-733,264,-375
267,394,125,330,189,536,-638,329,-401
204,406,135,345,121,487,-638,329,-401
70,473,109,358,45,506,-724,354,-373
68,406,23,368,0,559,-748,336,-412
68,406,23,368,0,559,-748,336,-412
247,214,20,295,123,726,-377,246,-526
382,94,2,107,265,865,-133,447,-563
382,94,2,107,265,865,-324,644,-586
284,64,17,103,259,812,-324,644,-586
247,192,16,229,305,695,-419,602,-620
247,192,16,229,305,695,-108,532,-615
181,330,56,421,328,552,-108,532,-615
189,247,37,488,343,420,337,526,-715
199,230,-25,381,314,321,317,637,-689
199,230,-25,381,314,321,317,637,-689
156,290,-94,239,227,285,447,799,-612
17,372,-128,225,228,256,509,824,-470
17,372,-128,225,228,256,382,499,-397
-95,428,-170,274,275,370,382,499,-397
-70,445,-258,241,378,368,496,188,-343
-50,488,-272,196,441,354,156,198,-273
-50,488,-272,196,441,354,156,198,-273
-147,423,-167,180,336,378,-194,318,-141
-215,289,-15,148,217,389,-167,348,15
-215,289,-15,148,217,389,31,376,159
-215,214,108,114,262,435,31,376,159
-79,265,82,116,243,429,102,610,313
84,338,-22,152,207,365,-14,762,386
84,338,-22,152,207,365,-14,762,386
143,349,-69,217,248,308,-36,690,405
67,294,4,215,315,332,26,562,407
67,294,4,215,315,332,17,441,406
-14,235,63,146,370,362,17,441,406
0,217,-5,37,317,376,-48,348,422
0,217,-5,37,317,376,-64,181,383
30,212,-135,82,299,361,-64,181,383
48,235,-244,167,300,371,25,-9,349
32,220,-313,196,294,396,4,-101,336
32,220,-313,196,294,396,-61,-180,377
11,263,-338,102,292,374,-61,-180,377
-32,229,-322,72,226,329,63,-273,371
-32,229,-322,72,226,329,275,-212,298
19,209,-322,4,198,311,275,-212,298
119,179,-249,-37,190,338,331,41,212
110,151,-93,122,153,271,426,452,127
110,151,-93,122,153,271,426,452,127
