-1460,1258,1232,-1645,1584,972,2616,2865,-301
5137,-1,-1883,5623,1198,-478,-706,795,-238
5137,-1,-1883,5623,1198,-478,-706,795,-238
8525,-863,-2944,8284,1029,-1601,-3430,-1502,-111
8278,-575,-2779,8469,661,-2129,-1659,795,-299
8278,-575,-2779,8469,661,-2129,751,323,-265
6845,-186,-2446,7719,-238,-1824,751,323,-265
5594,-64,-2507,6719,-603,-1888,1353,57,36
890,136,-1272,1093,-23,-539,528,249,111
890,136,-1272,1093,-23,-539,528,249,111
-7230,507,1743,-8553,190,612,-1824,1248,305
-11783,476,3373,-12760,1726,2219,-3497,1661,730
-11783,476,3373,-12760,1726,2219,-3980,1103,695
-11989,134,3413,-12511,2320,2596,-3980,1103,695
-6462,733,3464,-6572,1538,1621,-358,5519,65
1625,-860,739,2201,1963,678,339,4383,-714
1625,-860,739,2201,1963,678,339,4383,-714
7142,-2603,-2356,7566,1764,-906,-3836,207,-648
8139,-2448,-2912,8445,906,-1421,-2292,1582,-463
7467,-663,-3302,8445,906,-1421,-1108,1826,-498
7467,-663,-3302,8466,260,-2113,-1108,1826,-498
6222,-685,-2760,8079,483,-2401,-361,728,-86
5482,767,-3244,6795,409,-1930,-663,1331,231
5482,767,-3244,6795,409,-1930,-663,1331,231
58,2303,-2074,-954,610,-371,-85,2414,99
-9558,5099,-548,-11420,-1197,473,-324,4747,-6
-9558,5099,-548,-11420,-1197,473,-3829,1370,475
-14164,3643,1361,-14007,-136,2374,-3829,1370,475
-12759,-1330,2194,-11906,363,2784,-2304,-1216,97
-5521,-3248,1483,-4937,1296,1705,2929,3340,-707
-5521,-3248,1483,-4937,1296,1705,2929,3340,-707
2762,-3295,-992,4276,2336,343,-101,2343,-994
7608,-1857,-3166,8260,1952,-1770,-3898,-18,-426
7608,-1857,-3166,8260,1952,-1770,-442,3128,-80
8825,684,-3521,8537,1292,-2656,-442,3128,-80
8126,963,-2934,8296,305,-2512,2049,2668,-308
6809,103,-2655,7679,-476,-1951,2681,625,-209
6809,103,-2655,7679,-476,-1951,2681,625,-209
5211,-959,-1973,6051,-14,-1092,638,1149,187
-2632,-880,-265,-3086,643,570,729,2047,-73
-2632,-880,-265,-3086,643,570,864,3842,-577
-12178,904,776,-13884,1698,1089,864,3842,-577
-16061,1194,3087,-14276,2755,1915,-363,70,-75
-10397,554,3213,-14276,2755,1915,-1327,-2259,260
-10397,554,3213,-8990,1756,2785,-1327,-2259,260
-2189,179,1009,-1276,1228,3114,2035,-667,-569
5257,-2946,-1935,6729,1651,954,1968,-451,-104
5257,-2946,-1935,6729,1651,954,-652,-777,319
8533,-2767,-2813,8710,673,-871,-652,-777,319
8361,-636,-2824,7944,-890,-1763,520,-183,375
7033,389,-2625,7944,-890,-1763,1966,-731,266
7033,389,-2625,7537,-966,-1485,1966,-731,266
6309,583,-2631,7006,-145,-1537,3352,-940,103
4343,217,-2153,4280,973,-1234,1646,285,328
4343,217,-2153,4280,973,-1234,1646,285,328
-3845,-167,987,-5936,1021,-37,-745,427,13
-12620,1013,2543,-13277,712,1780,-1107,510,183
-12620,1013,2543,-13277,712,1780,-2027,-1864,-362
-15119,-144,4257,-14200,2035,3723,-2027,-1864,-362
