1	-13	29	42
2	4	37	0
3	8	-13	16
1	-13	29	42
2	4	37	0
3	8	-13	16
1	0	38	28
2	4	37	0
3	18	7	19
1	0	38	28
2	14	-35	63
3	18	7	19
1	0	38	28
2	14	-35	63
3	-18	4	24
1	3	10	15
2	10	-42	68
3	-18	4	24
1	3	10	15
2	10	-42	68
3	-18	4	24
1	0	-7	29
2	0	-24	35
3	-32	-21	14
1	0	-7	29
2	0	-24	35
3	-32	-21	14
1	-24	99	55
2	-14	-39	22
3	9	-41	5
1	-24	99	55
2	-14	-39	22
3	9	-41	5
1	-39	96	5
2	-9	-15	26
3	12	-41	0
1	-39	96	5
2	-9	-15	26
3	12	-41	0
1	-20	29	14
2	-29	-6	-17
3	10	-46	-8
1	-20	29	14
2	-29	-6	-17
3	10	-46	-8
1	-38	72	37
2	-19	-25	0
3	40	-62	-33
1	-38	72	37
2	-19	-25	0
3	40	-62	-33
1	-61	103	0
2	-8	-16	28
3	33	-61	-46
1	-61	103	0
2	-8	-16	28
3	33	-61	-46
1	-43	48	-14
2	7	-2	58
3	9	-59	-48
1	-43	48	-14
2	7	-2	58
3	9	-59	-48
1	-16	20	16
2	7	-2	58
3	2	-68	-52
1	-16	20	16
2	6	-33	63
3	2	-68	-52
1	-16	20	16
2	6	-33	63
3	2	-68	-52
1	-12	21	28
2	3	-40	51
3	-46	-73	-55
1	-12	21	28
2	3	-40	51
3	-46	-73	-55
1	-7	26	46
2	-6	-44	40
3	-85	-76	-50
1	-7	26	46
2	-6	-44	40
3	-85	-76	-50
1	-5	26	59
2	4	-24	38
3	-97	-76	-40
1	-5	26	59
2	4	-24	38
3	-97	-76	-40
1	-13	18	25
2	6	4	24
3	-63	-63	-24
1	-13	18	25
2	6	4	24
3	-63	-63	-24
1	-17	-7	8
2	3	-4	34
3	-42	-50	-4
1	-17	-7	8
2	3	-4	34
3	-42	-50	-4
1	-13	-15	7
2	7	-13	57
3	-29	-27	11
1	-13	-15	7
2	7	-13	57
