acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-64,54,-164,-82,-95,160,340,-224,191,263,28
-158,-4,-125,-252,-80,88,431,-263,62,263,78
-25,-36,-47,-191,58,-163,313,262,48,263,128
75,-112,67,-60,141,-334,175,638,122,263,-141
-13,-220,30,-92,89,-349,-90,652,92,263,-91
-73,-66,-47,-137,-17,-142,-177,705,-73,263,-41
45,-67,15,-83,-37,-52,-225,1208,-38,263,8
54,-43,76,-33,-42,-78,-220,1588,-38,263,58
-122,-10,10,-63,-80,-134,-118,1336,-81,263,108
-269,26,-145,-81,-103,18,43,913,-59,263,158
-142,-28,-347,-46,-30,119,-8,536,-4,263,-111
-101,-66,-349,-28,225,169,-36,-317,-86,263,-61
-166,-30,-257,-16,101,51,46,-962,-113,263,-11
-117,16,-169,-34,85,-39,54,-1234,-68,263,38
-58,115,-61,-91,46,-85,-17,-1433,-8,263,88
-16,128,115,-171,-7,-49,-162,-1594,31,263,138
80,55,153,-109,-10,-57,-137,-1299,38,263,-132
126,-34,145,-112,-21,-101,43,-1015,-1,263,-82
125,-108,157,-76,-18,-215,138,-696,-28,263,-32
137,-110,135,-139,19,-225,195,-84,-76,263,17
4,-60,123,-173,3,-195,217,185,-191,263,67
20,-81,68,-82,60,-159,281,146,-294,263,117
-27,-20,46,-125,64,-89,-198,147,-261,263,-152
19,248,118,-167,30,70,-465,178,-185,263,-102
292,341,107,81,43,222,-128,558,-65,263,-52
324,310,123,73,36,250,-133,671,-91,263,-2
195,314,81,48,-2,157,-372,465,4,263,47
148,264,26,59,-4,45,-339,395,97,263,97
88,129,42,80,29,10,-340,354,215,263,147
-222,114,68,-96,-48,127,-17,229,453,263,-122
-333,32,-73,-337,-130,188,342,285,339,263,-72
-30,-144,-194,-77,60,-10,333,-70,156,263,-22
-96,-184,-112,-112,177,-291,98,285,141,263,27
-30,-278,-76,-43,146,-341,2,715,162,263,77
-97,-208,-99,-139,52,-267,-220,975,91,263,127
-118,-213,-104,-96,-9,-150,-75,1084,-6,263,-143
-145,-292,-78,-66,-110,-56,70,1008,-93,263,-93
-630,-144,-219,-335,-283,13,456,766,-143,263,-43
-344,-338,-599,27,-133,-178,-261,578,58,263,6
-442,-349,-776,-277,-61,-64,-69,245,-18,263,56
-302,-356,-785,-423,-74,0,-15,-63,-51,263,106
-414,-328,-661,-107,230,-118,102,-540,-156,263,156
-231,-265,-457,41,303,-200,90,-931,-169,263,-113
-240,-173,-298,-26,131,-113,267,-1159,-159,263,-63
-64,-135,-181,-165,-16,1,31,-1467,-140,263,-13
-237,61,15,-300,-132,58,-424,-1565,8,263,36
-58,87,186,-354,-171,-13,-671,-886,66,263,86
-50,-67,182,-171,-131,-185,-301,-1235,-71,263,136
253,-137,114,60,69,-305,46,-879,13,263,-133
335,-122,143,-76,102,-280,404,-331,28,263,-83
170,-33,221,-233,35,-297,453,-356,-46,263,-33
269,180,138,-295,5,-183,82,-691,-364,263,16
287,605,249,-268,91,-35,-545,-590,-498,263,66
678,738,293,25,-207,475,-89,65,-624,263,116
949,517,153,381,40,118,283,804,-486,263,-153
388,553,177,130,112,6,-58,251,-190,263,-103
454,543,155,32,7,46,-104,294,63,263,-53
474,444,169,94,34,47,-117,396,263,263,-3
345,341,87,188,37,100,-238,431,490,263,46
95,257,2,-147,-79,319,-143,580,700,263,96
-304,213,-8,-608,89,547,240,1047,466,263,146
-36,-127,-137,-51,98,-1,408,572,104,263,-124
-33,-253,-212,-111,86,-198,230,525,-63,263,-74
20,-309,-265,-2,185,-407,63,858,-76,263,-24
-150,-285,-142,-80,154,-332,-317,1498,-26,263,25
