acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-4,-127,89,21,-18,24,-3,-17,-8,263,21
-5,-117,97,24,-21,20,-7,4,-15,263,71
-7,-115,102,27,-27,7,0,-3,-23,263,121
-7,-124,100,29,-32,-2,-8,-15,-21,263,-149
-21,-131,95,25,-15,10,-17,-16,-14,263,-99
-13,-125,106,18,-23,9,-1,-23,-7,263,-49
0,-119,108,28,-27,5,19,-19,-9,263,0
-4,-111,110,25,-34,2,28,-4,-5,263,50
-8,-141,104,15,-30,-6,20,-12,-7,263,100
-6,-138,95,25,-26,12,3,-13,-17,263,150
-4,-124,98,25,-29,4,-7,-19,-23,263,-119
-3,-114,107,29,-22,-6,-29,-16,-13,263,-69
-7,-122,110,19,-32,-3,-25,-22,-15,263,-19
-7,-131,99,28,-28,11,-22,4,-16,263,30
-8,-125,102,33,-13,-5,-34,27,-8,263,80
-48,-90,174,66,-14,-37,-1,50,22,263,130
0,-145,184,24,-34,-79,-4,69,187,263,-139
-1,-188,49,20,-86,25,-71,-224,84,263,-89
3,-170,74,11,-80,20,-30,-258,-3,263,-39
12,-120,165,-13,-34,-76,6,-199,-47,263,10
18,-102,190,-18,-3,-93,4,-146,-81,263,60
14,-115,135,-11,1,-52,-6,-124,-77,263,110
-7,-131,91,4,-14,-8,-12,-64,-61,263,160
-10,-140,126,7,-23,-32,-5,10,-34,263,-110
0,-138,139,6,-36,-58,56,9,-17,263,-60
-10,-140,112,3,-42,-39,56,-37,-21,263,-10
-9,-144,99,4,-47,-27,86,-39,-29,263,39
-4,-143,115,5,-19,-33,118,-34,-28,263,89
-11,-146,117,-3,-7,-48,94,-44,-17,263,139
-9,-156,96,-2,-4,-55,-13,-29,1,263,-130
-5,-147,108,-3,-16,-40,-45,-4,10,263,-80
-17,-141,110,2,-25,-31,-64,4,1,263,-30
-10,-139,118,-7,-32,-39,-55,14,2,263,19
-5,-147,110,10,-32,-35,-14,5,-14,263,69
-15,-154,111,1,-35,-33,1,-5,-23,263,119
-18,-162,106,-1,-30,-46,14,-39,-29,263,-150
-19,-150,96,-5,-24,-33,1,-68,-47,263,-100
3,-123,130,0,-10,-43,9,-27,-46,263,-50
-2,-121,124,-5,-3,-36,-31,-16,-28,263,0
