acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
2299,-609,-730,1783,1735,268,2310,453,-214,263,44
1359,-755,-871,1368,1306,-733,-1575,1045,163,263,94
1595,-923,-801,868,570,-323,59,503,-8,263,144
-3888,1652,909,-3693,-2385,1909,-1230,-716,-373,263,-125
2182,-576,-570,1482,1698,110,2235,17,-367,263,-75
1498,-640,-775,1339,1113,-787,-2541,883,390,263,-25
1600,-1030,-855,1161,491,-279,-361,27,319,263,24
-4159,1698,971,-3336,-2125,1226,-1054,-1219,-364,263,74
861,46,-172,283,227,1217,1726,-831,-543,263,124
1636,-451,-641,1377,1688,-409,-56,-206,-176,263,-146
1594,-775,-784,1313,1304,-785,-423,456,176,263,-96
394,-42,-296,-2465,-1675,1048,429,625,-227,263,-46
-1527,603,502,-2060,-1525,1757,-1188,537,180,263,3
1925,-455,-932,2035,1128,408,2461,-282,-147,263,53
1495,-774,-913,1467,987,-1125,-2461,410,460,263,103
1427,-760,-526,-194,-317,416,-397,227,352,263,153
-3673,2123,1058,-3401,-2416,1865,-874,-852,-9,263,-116
1623,-396,-690,1418,984,756,2175,-1243,-153,263,-66
1706,-695,-689,1475,720,-1012,-707,-466,470,263,-16
1703,-844,-900,1355,1326,-468,627,-221,68,263,33
-1126,944,300,-3542,-2398,1394,90,-219,-429,263,83
-607,708,48,-1350,-682,1846,-252,125,-331,263,133
1960,-349,-663,1855,1516,-708,1392,-137,-182,263,-136
1408,-904,-765,1586,998,-1025,-393,103,310,263,-86
1334,-599,-576,-1140,-982,819,-500,303,357,263,-36
-2747,1702,1064,-3541,-2005,1945,-902,-370,8,263,13
2103,-582,-916,1811,1205,302,1862,-543,-244,263,63
1488,-836,-878,1354,1097,-989,-1399,143,228,263,113
1534,-788,-824,1369,1346,-528,139,-198,168,263,-157
-3575,2241,1223,-3314,-2615,1267,-175,-51,-90,263,-107
1875,-328,-511,972,1001,12,1300,237,-12,263,-57
1483,-763,-827,1541,954,-810,-1192,342,-14,263,-7
1482,-1044,-742,1350,1494,-538,-306,503,207,263,42
-2459,1241,622,-3416,-2436,1384,-255,-189,-147,263,92
-119,341,114,-778,-583,1240,489,-556,-187,263,142
2093,-679,-597,2093,1347,-729,1657,-554,-86,263,-127
1444,-742,-713,1210,1078,-859,-1152,340,374,263,-77
813,-256,-442,1331,962,-323,-28,99,183,263,-27
-4142,1903,1026,-2736,-1989,1546,-782,27,-25,263,22
2409,-528,-677,2026,855,-318,2819,-229,-72,263,72
1418,-717,-773,1244,995,-759,-2227,51,213,263,122
1534,-738,-805,1310,1273,-670,-835,12,222,263,-147
-3407,1826,1059,-3529,-2724,1575,-430,-623,-118,263,-97
-1243,1435,381,735,640,835,2634,-402,-775,263,-47
1617,-643,-750,1590,976,-806,-18,243,150,263,2
1486,-1096,-916,1352,1421,-431,-156,-189,46,263,52
-721,757,258,118,-175,-54,-407,474,-222,263,102
-3521,2704,1124,-1369,-1262,1736,-670,123,-244,263,152
2084,-263,-1075,2072,1607,-231,1928,-657,-348,263,-118
1377,-1038,-861,1508,847,-999,-1276,-198,287,263,-68
1012,-249,-549,1361,820,-463,-600,-162,254,263,-18
-3660,3105,567,-2371,-3063,902,-2001,416,464,263,31
1038,262,-142,1988,757,545,2203,-95,-43,263,81
1414,-963,-811,1346,1152,-496,-938,548,117,263,131
1575,-713,-668,1432,1155,-684,569,56,15,263,-138
-3597,2566,716,-2689,-2297,641,261,500,-289,263,-88
-981,1313,134,1185,434,1023,1250,-320,-145,263,-38
1699,-653,-887,1549,1373,-315,-302,-132,191,263,11
1426,-963,-722,1425,992,-722,-428,-219,260,263,61
-1845,1301,403,-564,-838,188,-42,310,-123,263,111
