acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
1116,-2693,-281,954,2928,-293,-323,-163,5,263,10
750,134,-781,855,652,-600,-30,104,3,263,60
31,1434,-809,-130,-1385,-670,-310,81,-13,263,110
-301,1731,-556,-682,-1558,200,-383,73,37,263,160
-1145,1604,204,-1105,-1444,808,-165,24,45,263,-110
492,2596,3717,1166,-3071,4233,-998,647,131,263,-60
116,1631,3021,406,-1930,2536,847,-804,-18,263,-10
-1426,2241,1239,-1139,-2600,1278,2397,-783,-146,263,39
-298,2219,-545,-452,-2189,-695,-713,-847,-378,263,89
-980,1596,-962,-866,-1617,-1125,921,16,-348,263,139
-828,-3273,-1798,-1279,2197,-1084,551,314,89,263,-130
1320,-6884,281,-419,7339,2138,-787,-110,137,263,-80
2093,-1785,-124,2038,213,-695,120,-538,-53,263,-30
3923,3297,-995,3434,-2136,-1867,849,164,-12,263,19
3366,1185,-368,3595,142,-524,-365,494,26,263,69
1206,-3172,6,1203,4190,385,173,601,191,263,119
657,-5628,68,798,5023,392,133,556,1,263,-150
791,-1610,-647,1513,844,-756,-323,-70,-231,263,-100
1197,1076,-582,1371,-403,-1081,-500,263,-104,263,-50
665,1837,-556,849,-1108,-871,-849,8,-100,263,0
-63,1773,-723,193,-1308,-444,25,-210,-221,263,49
-804,1783,149,-579,-1658,337,-377,-565,-67,263,99
126,2662,3333,1376,-2902,3915,-886,573,138,263,149
-71,1436,981,485,-1479,445,422,-122,18,263,-121
-433,2007,338,-11,-1772,713,1787,-173,-66,263,-71
-8,2077,-499,388,-2048,4,-260,-162,62,263,-21
614,1425,-694,1445,-230,-523,114,-63,-118,263,28
1972,-352,-535,2008,841,-527,303,2,-73,263,78
2112,-1970,38,1801,2205,72,304,63,-90,263,128
2455,-3957,187,1896,4099,1005,-167,136,27,263,-141
2850,-2146,-293,2482,2542,74,-160,120,-37,263,-91
3389,1307,-861,3412,-39,-1506,-39,91,-87,263,-41
3809,1095,-980,3925,-73,-1511,-17,-32,-42,263,8
3333,-513,-52,3521,944,-581,-22,-121,-6,263,58
3027,-1942,455,3065,1749,575,89,-138,-11,263,108
2920,-2475,535,2896,1478,62,128,-54,-8,263,158
2718,-945,-48,3096,706,-52,11,34,14,263,-111
2260,0,-60,2648,365,46,-72,-94,56,263,-61
1326,662,-300,1869,-355,-221,-34,10,76,263,-11
78,1321,-739,557,-923,-767,-155,-41,28,263,38
-744,1352,-789,-588,-1411,-528,-230,-30,8,263,88
530,2364,1813,669,-2104,1899,-1461,24,-1,263,138
487,1921,846,747,-1515,1028,605,-124,-23,263,-132
-371,1714,480,142,-1248,971,1086,10,-50,263,-82
-377,1959,59,18,-2062,53,-113,-33,-15,263,-32
1307,1483,-55,1429,-1263,8,411,258,48,263,17
1661,697,-139,1773,-289,-362,462,40,96,263,67
1694,-1188,-311,1680,930,-581,496,-42,79,263,117
1892,-4038,-29,1242,3779,-95,413,77,133,263,-152
3086,-1569,-295,2460,2579,-350,-190,230,169,263,-102
3072,1132,-693,3198,13,-657,261,4,0,263,-52
3666,1746,-1060,3570,-1863,-1100,-132,-112,-97,263,-2
3539,372,-523,3784,-756,-712,-235,-125,43,263,47
2529,-2226,-79,1749,3214,-3,-189,-202,86,263,97
2696,-3268,-169,1736,4490,-145,113,-312,25,263,147
2819,-1595,-244,2289,2530,-264,-3,-21,-54,263,-122
2439,-418,-423,2063,977,-75,-68,3,-83,263,-72
1575,396,-333,1287,-498,-192,-64,-80,-98,263,-22
418,1154,-185,746,-893,-96,-364,12,48,263,27
-204,1307,329,-150,-1033,613,-246,-38,-21,263,77
-764,1124,642,-738,-1188,857,-147,51,-88,263,127
119,1596,2225,508,-2331,2353,-1510,1030,51,263,-143
249,698,2676,55,-1177,757,-268,-686,-189,263,-93
-626,1940,545,-302,-1355,865,753,-379,-156,263,-43
72,1634,-101,439,-1708,480,-367,-53,-14,263,6
1125,1211,-121,1295,-1321,270,513,-102,27,263,56
1841,778,-177,1809,-357,-70,286,-95,3,263,106
1792,-967,-504,1431,1128,-560,497,-115,-109,263,156
1559,-4132,-733,360,4449,-804,265,-8,-134,263,-113
2057,-3665,-358,1501,3903,-423,-233,190,58,263,-63
2834,-1317,-474,2763,1949,-343,22,196,39,263,-13
3498,1396,-879,3954,-1241,-1519,-27,-2,28,263,36
